date,year_month,month_offset,month_num,quarter,is_quarter_end,entity_id,company_name,ticker,industry,sector,indicator,category,is_environment,is_social,is_governance,materiality_score,base_score,trend_component,seasonal_component,sector_avg_score,industry_avg_score,vs_sector_delta,vs_industry_delta,lag_1m,lag_3m,lag_6m,rolling_mean_3m,rolling_std_3m,momentum_1m,momentum_3m,controversy_count_month,controversy_rolling_3m,controversy_total_12m,esg_score,has_live_esg,revenue_usd,emissions_tco2e,emissions_intensity,ceo_pay_ratio,labor_fines_usd_5y,other_fines_usd_5y,has_live_wem
2024-03-01,2024-03,11,3,1,1,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6368,0.645,-0.0,0.0,0.559175,0.62495,0.07762500000000006,0.011850000000000027,0.6431680000000001,0.655904,0.675008,0.6368,0.0,-0.00636800000000004,-0.01910400000000001,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-04-01,2024-04,10,4,2,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6478,0.645,-0.0,0.0,0.55095,0.61875,0.09684999999999999,0.02905000000000002,0.6368,0.655904,0.675008,0.6423000000000001,0.007778174593051991,0.01100000000000001,-0.008104,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-05-01,2024-05,9,5,2,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6414,0.645,-0.0,0.0,0.56285,0.6322,0.07855000000000001,0.009199999999999986,0.6478,0.655904,0.675008,0.642,0.005524490926773236,-0.006400000000000072,-0.014504000000000072,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-06-01,2024-06,8,6,2,1,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6307,0.645,-0.0,0.0,0.554825,0.6201000000000001,0.07587500000000003,0.010599999999999943,0.6414,0.6368,0.675008,0.6399666666666667,0.008639637338067675,-0.010699999999999932,-0.006099999999999994,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-07-01,2024-07,7,7,3,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6491,0.645,-0.0,0.0,0.55095,0.621,0.09814999999999996,0.028100000000000014,0.6307,0.6478,0.675008,0.6404,0.009240670971309376,0.018399999999999972,0.0012999999999999678,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-08-01,2024-08,6,8,3,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6328,0.645,-0.0,0.0,0.5538000000000001,0.6205,0.07899999999999996,0.012299999999999978,0.6491,0.6414,0.675008,0.6375333333333333,0.01007190812772498,-0.01629999999999998,-0.008599999999999941,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-09-01,2024-09,5,9,3,1,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6419,0.645,-0.0,0.0,0.55855,0.62015,0.08335000000000004,0.021750000000000047,0.6328,0.6307,0.6368,0.6412666666666667,0.008168435182660964,0.009099999999999997,0.011199999999999988,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-10-01,2024-10,4,10,4,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6469,0.645,-0.0,0.0,0.561625,0.62225,0.08527499999999999,0.02465000000000006,0.6419,0.6491,0.6478,0.6405333333333334,0.007148659548008544,0.0050000000000000044,-0.0021999999999999797,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-11-01,2024-11,3,11,4,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6601,0.645,-0.0,0.0,0.5548500000000001,0.62835,0.10524999999999995,0.031750000000000056,0.6469,0.6328,0.6414,0.6496333333333334,0.009402836451482934,0.01319999999999999,0.02729999999999999,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-12-01,2024-12,2,12,4,1,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6487,0.645,-0.0,0.0,0.54575,0.6153500000000001,0.1029500000000001,0.03334999999999999,0.6601,0.6419,0.6307,0.6519,0.007158212067269542,-0.011399999999999966,0.006800000000000028,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2025-01-01,2025-01,1,1,1,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6822,0.645,-0.0,0.0,0.5787,0.6453,0.10350000000000004,0.036900000000000044,0.6487,0.6469,0.6491,0.6636666666666667,0.017032420066841213,0.033499999999999974,0.0353,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2025-02-01,2025-02,0,2,1,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Access & Affordability,Social,0,1,0,0.6832,0.645,-0.0,0.0,0.5601,0.6415,0.12309999999999999,0.04170000000000007,0.6822,0.6601,0.6328,0.6713666666666667,0.019636275953788536,0.0010000000000000009,0.02310000000000001,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-03-01,2024-03,11,3,1,1,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Business Ethics,Governance,0,0,1,0.7097,0.699,-0.0,0.0,0.6385000000000001,0.6385000000000001,0.07119999999999993,0.07119999999999993,0.716797,0.7309910000000001,0.752282,0.7097,0.0,-0.00709700000000002,-0.02129100000000006,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-04-01,2024-04,10,4,2,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Business Ethics,Governance,0,0,1,0.7098,0.699,-0.0,0.0,0.6266,0.6266,0.08319999999999994,0.08319999999999994,0.7097,0.7309910000000001,0.752282,0.70975,7.071067811864696e-05,9.999999999998899e-05,-0.02119100000000007,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-05-01,2024-05,9,5,2,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Business Ethics,Governance,0,0,1,0.7052,0.699,-0.0,0.0,0.62445,0.62445,0.0807500000000001,0.0807500000000001,0.7098,0.7309910000000001,0.752282,0.7082333333333333,0.002627419519858457,-0.0045999999999999375,-0.02579100000000001,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-06-01,2024-06,8,6,2,1,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Business Ethics,Governance,0,0,1,0.7081,0.699,-0.0,0.0,0.64445,0.64445,0.06364999999999998,0.06364999999999998,0.7052,0.7097,0.752282,0.7077,0.0023259406699225917,0.0028999999999999027,-0.0016000000000000458,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-07-01,2024-07,7,7,3,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Business Ethics,Governance,0,0,1,0.694,0.699,-0.0,0.0,0.63145,0.63145,0.06255,0.06255,0.7081,0.7098,0.752282,0.7024333333333334,0.007446028023942293,-0.014100000000000001,-0.015800000000000036,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-08-01,2024-08,6,8,3,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Business Ethics,Governance,0,0,1,0.7069,0.699,-0.0,0.0,0.6416999999999999,0.6416999999999999,0.06520000000000004,0.06520000000000004,0.694,0.7052,0.752282,0.703,0.007817288532477264,0.012900000000000023,0.0016999999999999238,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-09-01,2024-09,5,9,3,1,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Business Ethics,Governance,0,0,1,0.6885,0.699,-0.0,0.0,0.63425,0.63425,0.05425000000000002,0.05425000000000002,0.7069,0.7081,0.7097,0.6964666666666667,0.009444751628991319,-0.018399999999999972,-0.01959999999999995,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
2024-10-01,2024-10,4,10,4,0,1202,Airtel Africa plc,AAF,Telecommunications services,technology,Business Ethics,Governance,0,0,1,0.706,0.699,-0.0,0.0,0.62935,0.62935,0.07665,0.07665,0.6885,0.694,0.7098,0.7004666666666667,0.010373202655560805,0.01749999999999996,0.01200000000000001,0,0.0,0,52.0,0,15000000000,300000,2e-05,120,5000000,2000000,0
