ticker,headline,incident_date,esg_category,severity,source_outlet
BP,SEC greenwashing inquiry into BP low-carbon investment claims,2023-04-11,environmental,high,Wall Street Journal
BP,BP Texas City environmental compliance violations — EPA fine $18m,2023-09-04,environmental,high,EPA
BP,FCA opens investigation into BP ESG-linked fund marketing materials,2024-06-15,governance,high,Financial Times
BP,Gulf of Mexico legacy liability reassessment triggers $2.1bn write-down,2024-01-18,environmental,medium,Bloomberg
BP,Climate Accountability Project files complaint over net-zero target credibility,2024-11-02,environmental,medium,Reuters
SHEL,Shell loses appeal — Dutch court upholds order to cut emissions 45% by 2030,2024-02-08,environmental,high,Reuters
SHEL,UK Advertising Standards complaint over Shell 'Drive Carbon Neutral' campaign,2023-07-22,environmental,medium,Guardian
TTE,TotalEnergies sued in French court over Uganda EACOP pipeline environmental impact,2024-04-22,environmental,high,Le Monde
TTE,Climate Action 100+ engagement: TotalEnergies fails net-zero alignment assessment,2023-10-18,environmental,medium,CA100+
NESN,European Commission opens formal investigation into Nestlé greenwashing claims,2024-03-14,environmental,high,Reuters
NESN,Child labour in Nestlé cocoa supply chain — updated investigative report published,2023-11-21,social,high,Washington Post
NESN,Class action lawsuit filed over Nestlé plastic pollution greenwashing claims,2024-09-05,environmental,high,Bloomberg
NESN,UN Special Rapporteur resubmits water privatisation concerns to Swiss government,2024-07-30,social,medium,UN News
NESN,Swiss Competition Commission greenwashing enforcement action against Nestlé advertising,2025-01-09,environmental,high,NZZ
ULVR,Unilever India greenwashing advertising complaint upheld by ASCI,2024-02-28,environmental,low,Economic Times
ULVR,Palm oil supplier deforestation links — external supply chain audit criticism published,2023-12-05,environmental,medium,Mongabay
XOM,ExxonMobil files lawsuit against California over mandatory climate disclosure rules,2024-05-03,governance,medium,Reuters
AMZN,Amazon Climate Pledge Friendly programme under FTC greenwashing scrutiny,2024-08-14,environmental,high,Bloomberg
AMZN,Amazon last-mile delivery methane emissions underreporting allegations,2024-03-22,environmental,medium,Reuters
ORSTED,NGO criticism of Ørsted offshore wind cable route biodiversity impact assessments,2023-08-15,environmental,low,Guardian
